Apple_A8X	[20160601,20160602,20160603,20160604,20160605]	[148,76,102,76,82]	484	36
Apple_strudel	[20160601,20160602,20160603,20160604,20160605]	[98,107,120,62,90]	477	67
Apple_Wireless_Keyboard	[20160601,20160602,20160603,20160604,20160605]	[102,74,118,84,95]	473	121
Apple_earbuds	[20160601,20160602,20160603,20160604,20160605]	[112,90,116,80,75]	473	69
IOS_(Apple)	[20160601,20160602,20160603,20160604,20160605]	[102,119,79,80,92]	472	30
Apple_media_events	[20160601,20160602,20160603,20160604,20160605]	[102,108,83,74,103]	470	50
The_Pineapple_Thief	[20160601,20160602,20160603,20160604,20160605]	[100,143,89,81,54]	467	-19
Migration_Assistant_(Apple)	[20160601,20160602,20160603,20160604,20160605]	[116,108,79,89,73]	465	17
Apple_Remote	[20160601,20160602,20160603,20160604,20160605]	[126,95,89,82,70]	462	20
Apple_IIc	[20160601,20160602,20160603,20160604,20160605]	[109,90,120,63,80]	462	64
The_Apples_in_Stereo	[20160601,20160602,20160603,20160604,20160605]	[111,92,77,65,115]	460	54
Apple_A4	[20160601,20160602,20160603,20160604,20160605]	[102,87,107,69,91]	456	78
Apple_Pencil	[20160601,20160602,20160603,20160604,20160605]	[106,111,90,60,88]	455	21
AppleWorks	[20160601,20160602,20160603,20160604,20160605]	[116,105,98,66,65]	450	8
Appleby-in-Westmorland	[20160601,20160602,20160603,20160604,20160605]	[62,125,105,78,75]	445	71
The_Apple_(1980_film)	[20160601,20160602,20160603,20160604,20160605]	[83,87,79,118,70]	437	97
Apple_Store_(online)	[20160601,20160602,20160603,20160604,20160605]	[114,70,101,70,78]	433	65
Apple_Developer_Tools	[20160601,20160602,20160603,20160604,20160605]	[132,81,93,61,66]	433	7
Eli_Apple	[20160601,20160602,20160603,20160604,20160605]	[108,96,83,77,66]	430	22
The_Apple_Dumpling_Gang_(film)	[20160601,20160602,20160603,20160604,20160605]	[80,68,106,82,89]	425	129
Apple_Pippin	[20160601,20160602,20160603,20160604,20160605]	[76,82,108,67,82]	415	99
Apple_II_Plus	[20160601,20160602,20160603,20160604,20160605]	[90,90,102,61,71]	414	54
Apple_motion_coprocessors	[20160601,20160602,20160603,20160604,20160605]	[100,107,81,63,62]	413	-1
Oak_apple	[20160601,20160602,20160603,20160604,20160605]	[87,90,75,100,60]	412	58
Apple_and_Adobe_Flash_controversy	[20160601,20160602,20160603,20160604,20160605]	[93,108,86,49,71]	407	5
AppleCare	[20160601,20160602,20160603,20160604,20160605]	[122,67,77,66,70]	402	24
Apple_sauce	[20160601,20160602,20160603,20160604,20160605]	[78,74,82,85,82]	401	97
Apple_Desktop_Bus	[20160601,20160602,20160603,20160604,20160605]	[88,75,96,69,71]	399	73
Apple_DOS	[20160601,20160602,20160603,20160604,20160605]	[82,84,85,66,80]	397	65
List_of_Apple_codenames	[20160601,20160602,20160603,20160604,20160605]	[119,92,73,44,69]	397	-25
Rappler	[20160601,20160602,20160603,20160604,20160605]	[86,86,86,76,61]	395	51
Candy_apple	[20160601,20160602,20160603,20160604,20160605]	[100,70,92,64,67]	393	53
Mail_(Apple)	[20160601,20160602,20160603,20160604,20160605]	[122,70,64,58,76]	390	6
Apple_Icon_Image_format	[20160601,20160602,20160603,20160604,20160605]	[69,92,85,70,72]	388	66
Apple_Extended_Keyboard	[20160601,20160602,20160603,20160604,20160605]	[99,86,83,57,58]	383	13
Apple_Software_Update	[20160601,20160602,20160603,20160604,20160605]	[70,68,76,77,92]	383	107
Apple_(album)	[20160601,20160602,20160603,20160604,20160605]	[86,78,95,67,53]	379	51
Apple_SIM	[20160601,20160602,20160603,20160604,20160605]	[95,81,57,72,71]	376	24
Apple_Mighty_Mouse	[20160601,20160602,20160603,20160604,20160605]	[83,82,83,51,73]	372	42
Apple_Corps_v._Apple_Computer	[20160601,20160602,20160603,20160604,20160605]	[99,85,64,50,71]	369	1
Apple_Music_Festival	[20160601,20160602,20160603,20160604,20160605]	[84,79,74,61,69]	367	41
Molly_Crabapple	[20160601,20160602,20160603,20160604,20160605]	[78,79,72,63,75]	367	53
Jodi_Applegate	[20160601,20160602,20160603,20160604,20160605]	[94,80,66,45,80]	365	17
The_Pineapple_Incident	[20160601,20160602,20160603,20160604,20160605]	[64,90,86,62,58]	360	52
Apple_Color_Emoji	[20160601,20160602,20160603,20160604,20160605]	[92,67,99,52,47]	357	39
Apple_Open_Directory	[20160601,20160602,20160603,20160604,20160605]	[103,91,82,39,39]	354	-34
Operation_Grapple	[20160601,20160602,20160603,20160604,20160605]	[78,79,96,43,58]	354	40
Apple_certification_programs	[20160601,20160602,20160603,20160604,20160605]	[93,87,76,42,54]	352	-8
